risk	group	impact	likelihood
R_ASSET	Overall	4.903030303	4.963636364
R_ASSET	Business	4.874285714	5.111428571
R_ASSET	Non-Business	4.929032258	4.870967742
R_ASSET	Female	5.110576923	5.038461538
R_ASSET	Male	4.832792208	4.938311688
R_ASSET	Older	4.851251841	4.966126657
R_ASSET	Aged below 30	5.143939394	5
R_ASSET	Expert	4.867036011	4.972299169
R_ASSET	Non-Expert	4.931567329	4.960264901
R_BIODIVERSITY	Overall	4.94556962	4.525316456
R_BIODIVERSITY	Business	4.824615385	4.369230769
R_BIODIVERSITY	Non-Business	5.030701754	4.638157895
R_BIODIVERSITY	Female	5.509708738	5.063106796
R_BIODIVERSITY	Male	4.747855918	4.339622642
R_BIODIVERSITY	Older	4.805855162	4.429892142
R_BIODIVERSITY	Aged below 30	5.646153846	5.007692308
R_BIODIVERSITY	Expert	5.525423729	5.169491525
R_BIODIVERSITY	Non-Expert	4.892906815	4.468706537
R_CRITICALINFO	Overall	5.1001221	4.304029304
R_CRITICALINFO	Business	5.078717201	4.320699708
R_CRITICALINFO	Non-Business	5.107296137	4.285407725
R_CRITICALINFO	Female	5.28436019	4.36492891
R_CRITICALINFO	Male	5.036243822	4.285008237
R_CRITICALINFO	Older	5.042836041	4.324963072
R_CRITICALINFO	Aged below 30	5.333333333	4.19379845
R_CRITICALINFO	Expert	5.074074074	4.414814815
R_CRITICALINFO	Non-Expert	5.107302534	4.281669151
R_CRITICALINFRA	Overall	4.298288509	4.251833741
R_CRITICALINFRA	Business	4.236842105	4.192982456
R_CRITICALINFRA	Non-Business	4.336188437	4.282655246
R_CRITICALINFRA	Female	4.54245283	4.358490566
R_CRITICALINFRA	Male	4.211570248	4.214876033
R_CRITICALINFRA	Older	4.272727273	4.280178838
R_CRITICALINFRA	Aged below 30	4.380597015	4.111940299
R_CRITICALINFRA	Expert	4.175792507	3.994236311
R_CRITICALINFRA	Non-Expert	4.382608696	4.432608696
R_CYBERATTACKS	Overall	4.937424789	5.077015644
R_CYBERATTACKS	Business	4.839541547	5.217765043
R_CYBERATTACKS	Non-Business	4.985200846	4.970401691
R_CYBERATTACKS	Female	5.257142857	5.138095238
R_CYBERATTACKS	Male	4.827419355	5.058064516
R_CYBERATTACKS	Older	4.861967695	5.092511013
R_CYBERATTACKS	Aged below 30	5.226277372	5.00729927
R_CYBERATTACKS	Expert	4.907142857	5.371428571
R_CYBERATTACKS	Non-Expert	4.932352941	5.019117647
R_DATAFRAUD	Overall	4.458033573	5.178657074
R_DATAFRAUD	Business	4.262108262	5.236467236
R_DATAFRAUD	Non-Business	4.592827004	5.135021097
R_DATAFRAUD	Female	4.900943396	5.20754717
R_DATAFRAUD	Male	4.305958132	5.16747182
R_DATAFRAUD	Older	4.351744186	5.180232558
R_DATAFRAUD	Aged below 30	4.954887218	5.165413534
R_DATAFRAUD	Expert	4.35	5.528571429
R_DATAFRAUD	Non-Expert	4.476539589	5.108504399
R_DEFLATION	Overall	4.329081633	4.297193878
R_DEFLATION	Business	4.335365854	4.445121951
R_DEFLATION	Non-Business	4.319910515	4.199105145
R_DEFLATION	Female	4.677248677	4.502645503
R_DEFLATION	Male	4.217171717	4.232323232
R_DEFLATION	Older	4.239263804	4.286809816
R_DEFLATION	Aged below 30	4.805084746	4.449152542
R_DEFLATION	Expert	4.18258427	4.27247191
R_DEFLATION	Non-Expert	4.447115385	4.329326923
R_ENERGY	Overall	5.105137395	4.456391876
R_ENERGY	Business	5.060869565	4.469565217
R_ENERGY	Non-Business	5.143153527	4.450207469
R_ENERGY	Female	5.403755869	4.798122066
R_ENERGY	Male	5.003210273	4.341894061
R_ENERGY	Older	5.004322767	4.350144092
R_ENERGY	Aged below 30	5.646153846	5.061538462
R_ENERGY	Expert	5.014084507	4.321126761
R_ENERGY	Non-Expert	5.172340426	4.546808511
R_FAILURECLIMATE	Overall	5.105450237	5.281990521
R_FAILURECLIMATE	Business	4.829059829	5.153846154
R_FAILURECLIMATE	Non-Business	5.30785124	5.378099174
R_FAILURECLIMATE	Female	5.542986425	5.461538462
R_FAILURECLIMATE	Male	4.953376206	5.223472669
R_FAILURECLIMATE	Older	4.992732558	5.279069767
R_FAILURECLIMATE	Aged below 30	5.608391608	5.272727273
R_FAILURECLIMATE	Expert	5.360655738	5.770491803
R_FAILURECLIMATE	Non-Expert	5.083009079	5.245136187
R_FAILUREURBAN	Overall	3.790640394	4.70320197
R_FAILUREURBAN	Business	3.671686747	4.620481928
R_FAILUREURBAN	Non-Business	3.86836518	4.755838641
R_FAILUREURBAN	Female	4.074766355	4.813084112
R_FAILUREURBAN	Male	3.688442211	4.664991625
R_FAILUREURBAN	Older	3.709774436	4.711278195
R_FAILUREURBAN	Aged below 30	4.183823529	4.691176471
R_FAILUREURBAN	Expert	4.129533679	4.808290155
R_FAILUREURBAN	Non-Expert	3.677100494	4.677100494
R_FINANCIALMECH	Overall	4.874109264	4.523752969
R_FINANCIALMECH	Business	4.764204545	4.488636364
R_FINANCIALMECH	Non-Business	4.960334029	4.54697286
R_FINANCIALMECH	Female	5.180995475	4.570135747
R_FINANCIALMECH	Male	4.764516129	4.508064516
R_FINANCIALMECH	Older	4.80463097	4.503617945
R_FINANCIALMECH	Aged below 30	5.239130435	4.644927536
R_FINANCIALMECH	Expert	4.800561798	4.398876404
R_FINANCIALMECH	Non-Expert	4.932489451	4.613924051
R_FISCALCRISES	Overall	5.074698795	4.806024096
R_FISCALCRISES	Business	5.081632653	4.973760933
R_FISCALCRISES	Non-Business	5.058577406	4.686192469
R_FISCALCRISES	Female	5.37254902	4.892156863
R_FISCALCRISES	Male	4.9776	4.7808
R_FISCALCRISES	Older	5.03617945	4.79739508
R_FISCALCRISES	Aged below 30	5.236220472	4.88976378
R_FISCALCRISES	Expert	5.089635854	4.851540616
R_FISCALCRISES	Non-Expert	5.052060738	4.770065076
R_FOOD	Overall	4.808009423	4.857479388
R_FOOD	Business	4.702857143	4.828571429
R_FOOD	Non-Business	4.895491803	4.870901639
R_FOOD	Female	5.159817352	5.269406393
R_FOOD	Male	4.682034976	4.718600954
R_FOOD	Older	4.698708752	4.799139168
R_FOOD	Aged below 30	5.369565217	5.130434783
R_FOOD	Expert	5.041025641	5.097435897
R_FOOD	Non-Expert	4.739469579	4.781591264
R_INFECTIOUSDISEASES	Overall	5.225214198	4.490820073
R_INFECTIOUSDISEASES	Business	5.130952381	4.354166667
R_INFECTIOUSDISEASES	Non-Business	5.281779661	4.574152542
R_INFECTIOUSDISEASES	Female	5.479452055	4.785388128
R_INFECTIOUSDISEASES	Male	5.132328308	4.381909548
R_INFECTIOUSDISEASES	Older	5.130952381	4.450892857
R_INFECTIOUSDISEASES	Aged below 30	5.671641791	4.701492537
R_INFECTIOUSDISEASES	Expert	5.298969072	4.556701031
R_INFECTIOUSDISEASES	Non-Expert	5.200980392	4.467320261
R_INFLATION	Overall	4.40920398	3.482587065
R_INFLATION	Business	4.471810089	3.477744807
R_INFLATION	Non-Business	4.368995633	3.482532751
R_INFLATION	Female	4.756218905	4.029850746
R_INFLATION	Male	4.294019934	3.303986711
R_INFLATION	Older	4.294561934	3.359516616
R_INFLATION	Aged below 30	5.007751938	4.19379845
R_INFLATION	Expert	4.278409091	3.221590909
R_INFLATION	Non-Expert	4.531818182	3.693181818
R_INTERSTATE	Overall	5.155813953	5.711627907
R_INTERSTATE	Business	5.099150142	5.688385269
R_INTERSTATE	Non-Business	5.201612903	5.725806452
R_INTERSTATE	Female	5.344036697	5.871559633
R_INTERSTATE	Male	5.092043682	5.659906396
R_INTERSTATE	Older	5.109375	5.738636364
R_INTERSTATE	Aged below 30	5.387323944	5.591549296
R_INTERSTATE	Expert	5.642201835	5.917431193
R_INTERSTATE	Non-Expert	5.085365854	5.680216802
R_MANMADECATA	Overall	4.245700246	5.054054054
R_MANMADECATA	Business	4.057057057	5.066066066
R_MANMADECATA	Non-Business	4.361522199	5.031712474
R_MANMADECATA	Female	4.772511848	5.336492891
R_MANMADECATA	Male	4.059800664	4.956810631
R_MANMADECATA	Older	4.036036036	5.013513514
R_MANMADECATA	Aged below 30	5.211678832	5.218978102
R_MANMADECATA	Expert	4.644067797	5.389830508
R_MANMADECATA	Non-Expert	4.202684564	5.02147651
R_MIGRATION	Overall	4.441320293	4.812958435
R_MIGRATION	Business	4.193353474	4.725075529
R_MIGRATION	Non-Business	4.612970711	4.868200837
R_MIGRATION	Female	4.847222222	5.152777778
R_MIGRATION	Male	4.296173045	4.6921797
R_MIGRATION	Older	4.353204173	4.831594635
R_MIGRATION	Aged below 30	4.873134328	4.708955224
R_MIGRATION	Expert	4.809782609	4.885869565
R_MIGRATION	Non-Expert	4.332797428	4.792604502
R_MISUSETECH	Overall	4.385604113	4.309768638
R_MISUSETECH	Business	4.237654321	4.25
R_MISUSETECH	Non-Business	4.487640449	4.35505618
R_MISUSETECH	Female	4.75	4.647959184
R_MISUSETECH	Male	4.2616179	4.196213425
R_MISUSETECH	Older	4.237871674	4.244131455
R_MISUSETECH	Aged below 30	5.086614173	4.653543307
R_MISUSETECH	Expert	4.281481481	4.266666667
R_MISUSETECH	Non-Expert	4.404120444	4.324881141
R_NATIONALGOV	Overall	4.557759627	5.47957993
R_NATIONALGOV	Business	4.286931818	5.403409091
R_NATIONALGOV	Non-Business	4.745967742	5.528225806
R_NATIONALGOV	Female	4.969026549	5.707964602
R_NATIONALGOV	Male	4.40952381	5.4
R_NATIONALGOV	Older	4.422253923	5.435092725
R_NATIONALGOV	Aged below 30	5.172413793	5.703448276
R_NATIONALGOV	Expert	4.87962963	5.768518519
R_NATIONALGOV	Non-Expert	4.50473613	5.435723951
R_NATURALCATA	Overall	4.352490421	5.310344828
R_NATURALCATA	Business	4.247706422	5.363914373
R_NATURALCATA	Non-Business	4.421524664	5.284753363
R_NATURALCATA	Female	4.846534653	5.742574257
R_NATURALCATA	Male	4.179310345	5.163793103
R_NATURALCATA	Older	4.203442879	5.303599374
R_NATURALCATA	Aged below 30	5.053435115	5.374045802
R_NATURALCATA	Expert	4.537037037	5.444444444
R_NATURALCATA	Non-Expert	4.334728033	5.306834031
R_SOCIALINSTABILITY	Overall	4.80167264	4.897252091
R_SOCIALINSTABILITY	Business	4.632653061	4.720116618
