risk	group	impact	likelihood
R_ASSET	Business	3.450150967	5.166162968
R_ASSET	Expert	3.49425292	5.164751053
R_ASSET	Female	3.392344475	4.990566254
R_ASSET	Male	3.472081184	5.137404442
R_ASSET	Non-Business	3.429718971	4.964143276
R_ASSET	Non-Expert	3.404069662	5.020231247
R_ASSET	Overall	3.429618835	5.070073128
R_ASSET	Senior	3.408247471	5.0636549
R_ASSET	Young	3.593220234	5.177966118
R_BIODIVERSITY	Business	3.429429531	4.662686348
R_BIODIVERSITY	Expert	4.285714149	5.75
R_BIODIVERSITY	Female	3.7590909	5.130630493
R_BIODIVERSITY	Male	3.437659025	4.74747467
R_BIODIVERSITY	Non-Business	3.6968503	5.1361866
R_BIODIVERSITY	Non-Expert	3.481216431	4.799645424
R_BIODIVERSITY	Overall	3.526315689	4.82909584
R_BIODIVERSITY	Senior	3.4323771	4.731707096
R_BIODIVERSITY	Young	4.024000168	5.484127045
R_CRITICALINFO	Business	3.377245426	4.267062187
R_CRITICALINFO	Expert	3.513043404	4.439655304
R_CRITICALINFO	Female	3.400900841	4.426009178
R_CRITICALINFO	Male	3.400503874	4.306733131
R_CRITICALINFO	Non-Business	3.397683382	4.4099617
R_CRITICALINFO	Non-Expert	3.373517752	4.327450752
R_CRITICALINFO	Overall	3.384397268	4.319268703
R_CRITICALINFO	Senior	3.412825584	4.376493931
R_CRITICALINFO	Young	3.349999905	4.237704754
R_CRITICALINFRA	Business	3.264264345	4.336283207
R_CRITICALINFRA	Expert	3.256705046	4.299242496
R_CRITICALINFRA	Female	3.409302235	4.592760086
R_CRITICALINFRA	Male	3.285000086	4.401985168
R_CRITICALINFRA	Non-Business	3.40234375	4.586872578
R_CRITICALINFRA	Non-Expert	3.384831429	4.593922615
R_CRITICALINFRA	Overall	3.319602251	4.459383965
R_CRITICALINFRA	Senior	3.325153351	4.471774101
R_CRITICALINFRA	Young	3.341269732	4.4609375
R_CYBERATTACKS	Business	3.466666698	5.642651081
R_CYBERATTACKS	Expert	3.470588207	5.697478771
R_CYBERATTACKS	Female	3.613043547	5.462882042
R_CYBERATTACKS	Male	3.504901886	5.592233181
R_CYBERATTACKS	Non-Business	3.605263233	5.434456825
R_CYBERATTACKS	Non-Expert	3.560460567	5.509541988
R_CYBERATTACKS	Overall	3.539835215	5.513661385
R_CYBERATTACKS	Senior	3.529411793	5.571150303
R_CYBERATTACKS	Young	3.6015625	5.4453125
R_DATAFRAUD	Business	3.204678297	5.690962315
R_DATAFRAUD	Expert	3.222222328	5.854701042
R_DATAFRAUD	Female	3.393805265	5.41228056
R_DATAFRAUD	Male	3.210784197	5.673965931
R_DATAFRAUD	Non-Business	3.335849047	5.468401432
R_DATAFRAUD	Non-Expert	3.28709054	5.517175674
R_DATAFRAUD	Overall	3.267683744	5.555096626
R_DATAFRAUD	Senior	3.245059252	5.592156887
R_DATAFRAUD	Young	3.3984375	5.534883499
R_DEFLATION	Business	3.217791319	4.620481968
R_DEFLATION	Expert	3.163424015	4.507692337
R_DEFLATION	Female	3.241706133	4.470046043
R_DEFLATION	Male	3.185566902	4.526717663
R_DEFLATION	Non-Business	3.160000086	4.364706039
R_DEFLATION	Non-Expert	3.23546505	4.505681992
R_DEFLATION	Overall	3.199127913	4.512160301
R_DEFLATION	Senior	3.192066908	4.479424
R_DEFLATION	Young	3.258333445	4.612903118
R_ENERGY	Business	3.287009001	4.611940384
R_ENERGY	Expert	3.279527664	4.53515625
R_ENERGY	Female	3.533632278	4.884955883
R_ENERGY	Male	3.252577305	4.520408154
R_ENERGY	Non-Business	3.415019751	4.6640625
R_ENERGY	Non-Expert	3.409470797	4.741758347
R_ENERGY	Overall	3.329529285	4.632248878
R_ENERGY	Senior	3.275720119	4.53564167
R_ENERGY	Young	3.664000034	5.110236168
R_FAILURECLIMATE	Business	3.574779987	5.198250771
R_FAILURECLIMATE	Expert	4.155172348	5.413793087
R_FAILURECLIMATE	Female	3.857777834	5.361233711
R_FAILURECLIMATE	Male	3.618811846	5.147783279
R_FAILURECLIMATE	Non-Business	3.847908735	5.218867779
R_FAILURECLIMATE	Non-Expert	3.65968585	5.20450592
R_FAILURECLIMATE	Overall	3.668061256	5.180055618
R_FAILURECLIMATE	Senior	3.634920597	5.203960419
R_FAILURECLIMATE	Young	3.983999968	5.3046875
R_FAILUREURBAN	Business	2.857142925	4.707831383
R_FAILUREURBAN	Expert	3.27131772	5
R_FAILUREURBAN	Female	3.141509533	4.772092819
R_FAILUREURBAN	Male	2.94458437	4.809523582
R_FAILUREURBAN	Non-Business	3.18359375	4.872093201
R_FAILUREURBAN	Non-Expert	2.948132753	4.743326664
R_FAILUREURBAN	Overall	2.992836714	4.731152058
R_FAILUREURBAN	Senior	2.950413227	4.726899147
R_FAILUREURBAN	Young	3.256000042	5.062992096
R_FINANCIALMECH	Business	3.441441536	4.645833492
R_FINANCIALMECH	Expert	3.438461542	4.651340961
R_FINANCIALMECH	Female	3.532407522	4.627272606
R_FINANCIALMECH	Male	3.454545498	4.728643417
R_FINANCIALMECH	Non-Business	3.515748024	4.729411602
R_FINANCIALMECH	Non-Expert	3.511299372	4.718662739
R_FINANCIALMECH	Overall	3.480000019	4.673267365
R_FINANCIALMECH	Senior	3.457905531	4.678861618
R_FINANCIALMECH	Young	3.575999975	4.746031761
R_FISCALCRISES	Business	3.508875847	4.81764698
R_FISCALCRISES	Expert	3.540229797	4.858778477
R_FISCALCRISES	Female	3.599078417	4.908675671
R_FISCALCRISES	Male	3.532338381	4.851116657
R_FISCALCRISES	Non-Business	3.623529434	4.921875
R_FISCALCRISES	Non-Expert	3.565459728	4.878116131
R_FISCALCRISES	Overall	3.546610117	4.869198322
R_FISCALCRISES	Senior	3.532388687	4.844758034
R_FISCALCRISES	Young	3.648000002	4.976190567
R_FOOD	Business	3.483775854	4.626470566
R_FOOD	Expert	3.819548845	5.225564003
R_FOOD	Female	3.784753323	5.080357075
R_FOOD	Male	3.537897348	4.711491585
R_FOOD	Non-Business	3.768656731	5.074626923
R_FOOD	Non-Expert	3.57085824	4.737051964
R_FOOD	Overall	3.595303774	4.783448219
R_FOOD	Senior	3.537848711	4.755467415
R_FOOD	Young	3.961538553	5.176923275
R_ILLICITTRADE	Business	2.970501423	5.419825077
R_ILLICITTRADE	Expert	3.057034254	5.405303001
R_ILLICITTRADE	Female	3.383928537	5.44933939
