risk	group	impact	likelihood
R_ASSET	Business	3.301136255	3.700564861
R_ASSET	Expert	3.269430161	3.699481964
R_ASSET	Female	3.226804018	3.472081184
R_ASSET	Male	3.331325293	3.681274891
R_ASSET	Non-Business	3.304761887	3.553124905
R_ASSET	Non-Expert	3.367469788	3.685459852
R_ASSET	Other gender/not specified	3.166666746	3.666666746
R_ASSET	Overall	3.282147408	3.59629631
R_ASSET	Senior	3.289377213	3.616087675
R_ASSET	Young	3.32911396	3.640244007
R_BIODIVERSITY	Business	3.466292143	3.504201651
R_BIODIVERSITY	Expert	4.13043499	4.043478489
R_BIODIVERSITY	Female	3.809999943	3.751219511
R_BIODIVERSITY	Male	3.447674513	3.524178028
R_BIODIVERSITY	Non-Business	3.610271931	3.663690567
R_BIODIVERSITY	Non-Expert	3.513888836	3.575638533
R_BIODIVERSITY	Other gender/not specified	4	3
R_BIODIVERSITY	Overall	3.54361558	3.585947275
R_BIODIVERSITY	Senior	3.47217226	3.559714794
R_BIODIVERSITY	Young	3.771929741	3.676300526
R_CRITICALINFO	Business	3.422222137	3.25555563
R_CRITICALINFO	Expert	3.320987701	3.098159552
R_CRITICALINFO	Female	3.552238703	3.369458199
R_CRITICALINFO	Male	3.400000095	3.16795373
R_CRITICALINFO	Non-Business	3.462006092	3.213213205
R_CRITICALINFO	Non-Expert	3.48302865	3.29792738
R_CRITICALINFO	Other gender/not specified	3.416666746	3.333333254
R_CRITICALINFO	Overall	3.438481569	3.228868723
R_CRITICALINFO	Senior	3.430379629	3.256732464
R_CRITICALINFO	Young	3.477272749	3.124293804
R_CRITICALINFRA	Business	3.259052992	3.292817593
R_CRITICALINFRA	Expert	3.213930368	3.143564463
R_CRITICALINFRA	Female	3.312195063	3.415458918
R_CRITICALINFRA	Male	3.248543739	3.278846264
R_CRITICALINFRA	Non-Business	3.275449038	3.337278128
R_CRITICALINFRA	Non-Expert	3.303468227	3.467236519
R_CRITICALINFRA	Other gender/not specified	2.916666746	3.25
R_CRITICALINFRA	Overall	3.246341467	3.306763172
R_CRITICALINFRA	Senior	3.280357122	3.352212429
R_CRITICALINFRA	Young	3.202312231	3.205714226
R_CYBERATTACKS	Business	3.625683069	4.060109138
R_CYBERATTACKS	Expert	3.546012163	4.109755993
R_CYBERATTACKS	Female	3.752380848	4.042654037
R_CYBERATTACKS	Male	3.596525192	4.001923084
R_CYBERATTACKS	Non-Business	3.64071846	3.973293781
R_CYBERATTACKS	Non-Expert	3.638676882	3.959390879
R_CYBERATTACKS	Other gender/not specified	3.416666746	4
R_CYBERATTACKS	Overall	3.641388178	4.005121708
R_CYBERATTACKS	Senior	3.644876242	4.035273552
R_CYBERATTACKS	Young	3.609195471	3.943181753
R_DATAFRAUD	Business	3.258241653	4.051912785
R_DATAFRAUD	Expert	3.149068356	4.061728477
R_DATAFRAUD	Female	3.441747665	3.990384579
R_DATAFRAUD	Male	3.245136261	3.955339909
R_DATAFRAUD	Non-Business	3.326219559	3.899696112
R_DATAFRAUD	Non-Expert	3.326478243	3.920103073
R_DATAFRAUD	Other gender/not specified	3.166666746	4.416666508
R_DATAFRAUD	Overall	3.304291248	3.975388527
R_DATAFRAUD	Senior	3.30411458	3.960854053
R_DATAFRAUD	Young	3.281609297	4
R_DEFLATION	Business	2.882521391	2.9145298
R_DEFLATION	Expert	2.870466232	2.835051537
R_DEFLATION	Female	2.940860271	2.958333254
R_DEFLATION	Male	2.930184841	2.947046757
R_DEFLATION	Non-Business	2.936241627	2.947368383
R_DEFLATION	Non-Expert	2.955836058	3.055555582
R_DEFLATION	Other gender/not specified	2.909090996	3
R_DEFLATION	Overall	2.940568447	2.9554708
R_DEFLATION	Senior	2.901515245	2.910112381
R_DEFLATION	Young	3.038461447	3.087500095
R_ENERGY	Business	3.154061556	3.058011055
R_ENERGY	Expert	3.089108944	2.915841579
R_ENERGY	Female	3.383838415	3.311881304
R_ENERGY	Male	3.0859375	3.007721901
R_ENERGY	Non-Business	3.177018642	3.100917339
R_ENERGY	Non-Expert	3.16519165	3.101744175
R_ENERGY	Other gender/not specified	3	2.888888836
R_ENERGY	Overall	3.157697201	3.096177578
R_ENERGY	Senior	3.134790421	3.003590584
R_ENERGY	Young	3.27058816	3.372092962
R_FAILURECLIMATE	Business	3.745856285	3.823204517
R_FAILURECLIMATE	Expert	4.239130497	4.13043499
R_FAILURECLIMATE	Female	3.937198162	3.889423132
R_FAILURECLIMATE	Male	3.730916023	3.79657793
R_FAILURECLIMATE	Non-Business	3.803519011	3.8430233
R_FAILURECLIMATE	Non-Expert	3.72265625	3.807393074
R_FAILURECLIMATE	Other gender/not specified	4	4
R_FAILURECLIMATE	Overall	3.776818752	3.829447746
R_FAILURECLIMATE	Senior	3.736749172	3.813380241
R_FAILURECLIMATE	Young	3.926553726	3.859550476
R_FAILUREURBAN	Business	2.914040089	3.362857103
R_FAILUREURBAN	Expert	3.352272749	3.761363745
R_FAILUREURBAN	Female	3.144999981	3.532338381
R_FAILUREURBAN	Male	3.003929377	3.47647047
R_FAILUREURBAN	Non-Business	3.166666746	3.625377655
R_FAILUREURBAN	Non-Expert	3.022026539	3.484649181
R_FAILUREURBAN	Other gender/not specified	3.200000048	3.799999952
R_FAILUREURBAN	Overall	3.052631617	3.50589776
R_FAILUREURBAN	Senior	3.038532019	3.477148056
R_FAILUREURBAN	Young	3.068571329	3.559999943
R_FINANCIALMECH	Business	3.10335207	3.138888836
R_FINANCIALMECH	Expert	3.144278526	3.099009991
R_FINANCIALMECH	Female	3.145728588	3.203980207
R_FINANCIALMECH	Male	3.18359375	3.16795373
R_FINANCIALMECH	Non-Business	3.246951103	3.216867447
R_FINANCIALMECH	Non-Expert	3.236686468	3.24198246
R_FINANCIALMECH	Other gender/not specified	3.083333254	3.181818247
R_FINANCIALMECH	Overall	3.160736084	3.172121286
R_FINANCIALMECH	Senior	3.14362669	3.151515245
R_FINANCIALMECH	Young	3.265060186	3.266272306
R_FISCALCRISES	Business	3.34636879	3.26462388
R_FISCALCRISES	Expert	3.400990009	3.280788183
R_FISCALCRISES	Female	3.412060261	3.313432932
R_FISCALCRISES	Male	3.344488144	3.297456026
R_FISCALCRISES	Non-Business	3.356250048	3.305555582
R_FISCALCRISES	Non-Expert	3.364985228	3.373529434
R_FISCALCRISES	Other gender/not specified	2.818181753	2.909090996
R_FISCALCRISES	Overall	3.355444193	3.297766685
R_FISCALCRISES	Senior	3.33393836	3.30922246
R_FISCALCRISES	Young	3.422619104	3.245614052
R_FOOD	Business	3.480555534	3.386740446
R_FOOD	Expert	3.869047642	3.709302425
R_FOOD	Female	3.706467628	3.645320177
R_FOOD	Male	3.489402771	3.339080572
R_FOOD	Non-Business	3.585585594	3.420895576
R_FOOD	Non-Expert	3.492473125	3.358369112
R_FOOD	Other gender/not specified	3.363636255	3.454545498
R_FOOD	Overall	3.558290243	3.438867331
R_FOOD	Senior	3.50448823	3.407473326
R_FOOD	Young	3.680000067	3.480000019
R_ILLICITTRADE	Business	2.836565018	3.58011055
R_ILLICITTRADE	Expert	2.869999886	3.542288542
R_ILLICITTRADE	Female	3.190243959	3.834951401
R_ILLICITTRADE	Male	2.889748573	3.602316618
R_ILLICITTRADE	Non-Business	3.087349415	3.738738775
R_ILLICITTRADE	Non-Expert	2.997126341	3.707736492
R_ILLICITTRADE	Other gender/not specified	2.545454502	3.545454502
R_ILLICITTRADE	Overall	2.980247021	3.661764622
R_ILLICITTRADE	Senior	2.950000048	3.649466276
R_ILLICITTRADE	Young	3.034682035	3.72254324
R_INFECTIOUSDISEASES	Business	3.432132959	2.928374767
R_INFECTIOUSDISEASES	Expert	3.694117546	3.418604612
R_INFECTIOUSDISEASES	Female	3.614634037	3.200980425
R_INFECTIOUSDISEASES	Male	3.461988211	2.946050167
R_INFECTIOUSDISEASES	Non-Business	3.594512224	3.102719069
R_INFECTIOUSDISEASES	Non-Expert	3.462882042	2.937229395
R_INFECTIOUSDISEASES	Other gender/not specified	3.454545498	3.272727251
R_INFECTIOUSDISEASES	Overall	3.501955748	3.03234148
R_INFECTIOUSDISEASES	Senior	3.455197096	3.051693439
R_INFECTIOUSDISEASES	Young	3.660818815	2.924855471
R_INFLATION	Business	2.9710145	2.410256386
R_INFLATION	Expert	2.889447212	2.295000076
R_INFLATION	Female	3.166666746	2.712765932
R_INFLATION	Male	2.861507177	2.355864763
R_INFLATION	Non-Business	2.93069315	2.496774197
R_INFLATION	Non-Expert	2.959247589	2.566153765
R_INFLATION	Other gender/not specified	3.222222328	3.111111164
R_INFLATION	Overall	2.931578875	2.460746527
R_INFLATION	Senior	2.897533178	2.401851892
R_INFLATION	Young	3.118750095	2.652173996
R_INTERSTATE	Business	3.36011076	3.490304708
